ID,OBJID,RELATIVE_FRAME,LANE_ID,ORIENTATION,SOLIDITY,AREA,WIDTH,COMPACTNESS_RATIO,ASPECT_RATIO,ECCENTRICITY,CENTROID_X,CENTROID_Y,YOCC,YCLASS
1,1,1,3,0.97613,0.78442,0.27537,0.64056,0.51111,1.2,0.7119,216.07,175,0,2
1,1,2,3,0.98395,0.87121,0.31727,0.68618,0.6797,1.125,0.78359,215.66,174.75,0,2
1,1,3,3,0.97643,0.86267,0.39012,0.71104,0.62085,1.2353,0.70495,215.27,176.23,0,2
1,1,4,3,0.94354,0.84753,0.32531,0.6638,0.58619,1.25,0.72909,215.34,176.72,0,2
1,1,5,3,0.98896,0.8701,0.3574,0.6585,0.63372,1.25,0.7102,215.69,177.2,0,2
1,1,6,3,0.97151,0.81276,0.32188,0.6863,0.53629,1.1765,0.75035,215.79,178.39,0,2
1,1,7,3,0.95943,0.8187,0.3421,0.67891,0.57354,1.2353,0.69444,215.6,179.06,0,2
1,1,8,3,0.87094,0.88535,0.30565,0.65089,0.67573,1.0588,0.86316,215.91,181.76,0,2
1,1,9,3,0.96917,0.7892,0.34056,0.65919,0.48144,1.3529,0.65837,215.71,180.94,0,2
1,1,10,3,0.9504,0.90496,0.30897,0.63854,0.77001,1.1176,0.83436,215.72,183.02,0,2
1,1,11,3,0.91513,0.92128,0.29615,0.62875,0.77462,1.0588,0.83757,216.19,184.06,0,2
1,1,12,3,0.94971,0.85401,0.30467,0.61342,0.60047,1.2941,0.75886,216.08,185.75,0,2
1,1,13,3,0.98734,0.88636,0.32064,0.7113,0.66553,1.05,0.88103,216.03,186.76,0,2
1,1,14,3,0.94281,0.8874,0.32558,0.70236,0.75168,1.1,0.88161,216.05,187.66,0,2
1,1,15,3,0.90266,0.88413,0.33204,0.69058,0.72066,1.1,0.83078,215.88,188.87,0,2
1,1,16,3,0.88489,0.84375,0.3428,0.67947,0.50961,1.35,0.75536,216.04,190.06,0,2
1,1,17,3,0.88151,0.90799,0.33796,0.67016,0.74968,1.2,0.74071,216.08,191.08,0,2
1,1,18,3,0.98715,0.90043,0.33384,0.65422,0.7272,1.1,0.82256,216.26,192.9,0,2
1,1,19,3,0.9577,0.90456,0.34301,0.68014,0.75667,1.1429,0.82603,216.11,193.66,0,2
1,1,20,3,0.99675,0.91057,0.34515,0.64101,0.73475,1.2,0.86918,216.57,194.47,0,2
1,1,21,3,0.9032,0.91995,0.34865,0.66232,0.77013,1.0952,0.85958,216.53,195.74,0,2
1,1,22,3,0.98694,0.85664,0.34992,0.74669,0.58313,1.0417,0.86949,216.54,196.83,0,2
1,1,23,3,0.97084,0.88753,0.35808,0.68945,0.65709,1.1304,0.85576,216.8,199.87,0,2
1,1,24,3,0.94707,0.88815,0.35025,0.67974,0.65423,1.1304,0.87833,217.06,201.07,0,2
1,1,25,3,0.90309,0.88041,0.36059,0.7265,0.62661,1,0.8676,216.93,202.5,0,2
1,1,26,3,0.95577,0.81826,0.3687,0.7385,0.43166,1.1538,0.79366,217.12,204.49,0,2
1,1,27,3,0.76969,0.83122,0.36562,0.81937,0.53249,0.93103,0.87503,216.69,204.96,0,2
1,1,28,3,0.96402,0.89479,0.36329,0.68142,0.65426,1.16,0.83846,217.25,208.2,0,2
1,1,29,3,0.92209,0.86109,0.38098,0.7239,0.59352,1.1111,0.82297,217.15,209.73,0,2
1,1,30,3,0.90669,0.82431,0.36489,0.79053,0.5508,0.93333,0.86983,217.29,211.36,0,2
