ID,OBJID,RELATIVE_FRAME,FRAME,LANE_ID,ORIENTATION,SOLIDITY,AREA,WIDTH,COMPACTNESS_RATIO,ASPECT_RATIO,ECCENTRICITY,CENTROID_X,CENTROID_Y,LANE_WIDTH,YOCC,YCLASS
1,1,1,9,1,0.86055,0.86503,0.46463,1.0126,0.48721,0.75758,0.64002,64.586,184.47,32.59,0,2
1,1,2,10,1,0.86522,0.88589,0.46667,0.96941,0.60565,0.8125,0.67214,65.752,185.7,33.01,0,2
1,1,3,11,1,0.84405,0.88967,0.50718,1.0155,0.59773,0.76471,0.68046,67.081,187.08,33.48,0,2
1,1,4,12,1,0.86522,0.87733,0.48911,0.97094,0.60878,0.81818,0.68336,68.367,188.57,33.988,0,2
1,1,5,13,1,0.86297,0.92138,0.52546,0.98427,0.73746,0.82353,0.64307,69.506,190.2,34.543,0,2
1,1,6,14,1,0.86869,0.88508,0.50318,0.9686,0.64169,0.82353,0.68401,71.293,191.84,35.102,0,2
1,1,7,15,1,0.89236,0.88205,0.46793,0.98193,0.55956,0.8,0.64289,72.291,193.43,35.644,0,2
1,1,8,16,1,0.87569,0.90064,0.54495,1.0272,0.71831,0.83784,0.63079,73.306,194.53,36.019,0,2
1,1,9,17,1,0.88366,0.89946,0.57046,1.0713,0.7076,0.84615,0.60345,74.132,195.66,36.404,0,2
1,1,10,18,1,0.8868,0.87099,0.56955,1.1033,0.57621,0.82927,0.61134,76.268,197.88,37.161,0,2
1,1,11,19,1,0.8426,0.93099,0.52201,0.97258,0.76558,0.81081,0.68629,78.597,200.47,38.043,0,2
1,1,12,20,1,0.83632,0.91211,0.52766,1.0121,0.64763,0.79487,0.69859,79.865,201.91,38.534,0,2
1,1,13,21,1,0.85403,0.93444,0.54478,0.99261,0.78048,0.82051,0.68985,81.81,204.13,39.29,0,2
1,1,14,22,1,0.84541,0.92785,0.54577,1.003,0.71615,0.8,0.68266,83.203,205.86,39.88,0,2
1,1,15,23,1,0.84477,0.93627,0.55616,1.0051,0.77019,0.80488,0.68947,85.427,208.54,40.793,0,2
1,1,16,24,1,0.83326,0.92689,0.55343,1.0167,0.67607,0.78571,0.68298,86.657,210.06,41.311,0,2
1,1,17,25,1,0.85,0.92113,0.55613,1.0238,0.73455,0.83721,0.69175,88.453,212.08,42,0,2
1,1,18,26,1,0.85548,0.92341,0.57026,1.023,0.73947,0.81818,0.66397,91.305,215.05,43.012,0,2
1,1,19,27,1,0.84364,0.91265,0.56099,1.0299,0.67809,0.8,0.66079,92.588,217.05,43.693,0,2
1,1,20,28,1,0.84485,0.91844,0.56399,1.032,0.73443,0.78261,0.66738,95.018,219.63,44.573,0,2
3,3,1,13,2,0.97828,0.73426,0.24326,0.80886,0.37532,0.82143,0.59987,72.166,162.2,34.617,0,2
3,3,2,14,2,0.99349,0.78507,0.25123,0.8036,0.37884,0.75,0.67306,73.803,162.63,34.843,0,2
3,3,3,15,2,0.98683,0.84326,0.26081,0.79258,0.55544,0.78571,0.64867,74.165,163.55,35.327,0,2
3,3,4,16,2,0.98082,0.85917,0.30818,0.81158,0.59175,0.86207,0.63147,75.191,164.32,35.733,0,2
3,3,5,17,2,0.99812,0.8411,0.30586,0.86045,0.5741,0.83871,0.58381,76.129,164.88,36.028,0,2
3,3,6,18,2,0.98639,0.82876,0.3247,0.84404,0.48718,0.90323,0.59669,77.852,166.21,36.728,0,2
3,3,7,19,2,0.99602,0.86739,0.31793,0.83188,0.60351,0.87097,0.62358,78.843,167.23,37.265,0,2
3,3,8,20,2,0.98552,0.8338,0.31019,0.81938,0.59139,0.90323,0.65088,79.983,168.31,37.834,0,2
3,3,9,21,2,0.99406,0.84111,0.31812,0.83385,0.59909,0.84375,0.65318,81.94,169.34,38.376,0,2
3,3,10,22,2,0.97451,0.81622,0.31136,0.87233,0.52532,0.82353,0.62946,83.204,170.48,38.976,0,2
3,3,11,23,2,0.99783,0.87431,0.29998,0.77781,0.55732,0.90323,0.71,85.295,172.15,39.855,0,2
3,3,12,24,2,0.99985,0.87044,0.29167,0.76657,0.51261,0.87097,0.70511,86.482,173.26,40.44,0,2
3,3,13,25,2,0.99022,0.90997,0.30859,0.78294,0.69558,0.84375,0.68313,87.452,174.08,40.872,0,2
3,3,14,26,2,0.99341,0.9151,0.32001,0.74072,0.74532,0.90323,0.68639,89.633,175.94,41.851,0,2
3,3,15,27,2,0.98828,0.92426,0.3211,0.75719,0.72279,0.875,0.68389,90.91,176.72,42.262,0,2
3,3,16,28,2,0.98357,0.89908,0.31405,0.74239,0.66037,0.90625,0.69684,92.824,178.32,43.104,0,2
3,3,17,29,2,0.99074,0.9133,0.32252,0.75818,0.71063,0.90909,0.66787,94.359,179.12,43.525,0,2
3,3,18,30,2,0.99058,0.9003,0.31447,0.77515,0.71145,0.88235,0.67963,95.616,179.76,43.862,0,2
3,3,19,31,2,0.9738,0.9079,0.32557,0.75486,0.69466,0.94118,0.70927,97.737,182,45.042,0,2
3,3,20,32,2,0.99341,0.91808,0.32524,0.76657,0.75766,0.88571,0.70226,99.211,183.17,45.658,0,2
3,3,21,33,2,0.98104,0.90709,0.33188,0.77157,0.69399,0.91667,0.7212,101.49,185.07,46.658,0,2
3,3,22,34,2,0.99891,0.91281,0.34386,0.78215,0.73388,0.91892,0.71615,102.86,186.3,47.306,0,2
3,3,23,35,2,0.99631,0.89836,0.33486,0.79296,0.68874,0.89474,0.70447,104.89,187.47,47.922,0,2
3,3,24,36,2,0.98284,0.91163,0.34023,0.77641,0.74553,0.89474,0.71129,107.19,189.41,48.943,0,2
3,3,25,37,2,0.99942,0.91369,0.34669,0.8043,0.70847,0.875,0.70518,108.74,190.91,49.733,0,2
3,3,26,38,2,0.99841,0.91878,0.33651,0.80589,0.70112,0.85366,0.66765,111.9,193.08,50.875,0,2
3,3,27,39,2,0.99276,0.93364,0.34607,0.79454,0.77176,0.87805,0.67051,113.54,194.46,51.602,0,2
3,3,28,40,2,0.98812,0.89051,0.34421,0.78312,0.61534,0.90244,0.68402,115.44,195.89,52.355,0,2
3,3,29,41,2,0.99515,0.94248,0.34616,0.81884,0.77237,0.84091,0.66711,118.44,198.51,53.734,0,2
3,3,30,42,2,0.99856,0.92396,0.35237,0.80566,0.75781,0.90909,0.66687,120.63,200.18,54.614,0,2
3,3,31,43,2,0.99645,0.91841,0.35763,0.80412,0.73023,0.88889,0.67198,123.86,202.74,55.962,0,2
3,3,32,44,2,0.99927,0.93236,0.36254,0.80681,0.77131,0.91304,0.64806,126.37,204.74,57.015,0,2
3,3,33,45,2,0.98748,0.92439,0.36335,0.79304,0.71739,0.93478,0.65742,128.59,206.62,58.004,0,2
3,3,34,46,2,0.98929,0.92609,0.36562,0.79111,0.72972,0.95745,0.64788,132.32,209.29,59.41,0,2
